PAYS,VILLE,TYPE DE PARTENAIRE,NOM DU PARTENAIRE,SPECIALITE,TELEPHONE,E-MAIL,Latitude,Longitude,QUARTIER,ADRESSE
TOGO,LOME,CLINIQUE,CLINIQUE UNIDIAL,"MEDECINE GENERALE, PEDIATRIE, NEPHROLOGIE",22208805;93972020,cliniqueunidial2015@gmail.com,6.1483125,1.2065625,"Lome Tokoin Habitat, Rue des Filaos, Villa Ebenezer","Tokoin Habitat, Rue des Filaos, Villa Ebenezer"
TOGO,DAPAONG,CLINIQUE,CLINIQUE WIN'PANG,"MEDECINE GENERALE, ANALYSES MEDICALES",90 04 53 61,sergeohin@yahoo.fr,10.8711875,0.2041875,Dapaong Dapaong,Dapaong
TOGO,ADJENGRE - SOTOUBOUA,DISPENSAIRE,CMS ADJENGRE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",90916537 / 99450258,Pas d'adresse mail,8.657138,1.0186585,Adjengre - Sotouboua Adjengre - Sotouboua,Adjengre - Sotouboua
TOGO,AHEPE,DISPENSAIRE,CMS AHEPE,MEDECINE GENERALE,90 29 76 61,Adresse non fonctionnelle,6.6036875,1.3859375,Ahepe Ahepe,Ahepe
TOGO,LOME,CENTRE D'OPTIQUE,GRACIA'S VISION,OPTIQUE,92046056;98232794,graciasvision@hotmail.com,6.2003125,1.1970625,"Lomé, Agbalepodo",Agbalépédo
TOGO,ASSAHOUN,HOPITAL,HOPITAL ASSAHOUN,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES", 90 34 38 86,amoska7@yahoo.fr,6.4320625,0.9274375,Assahoun Assahoun,Assahoun
TOGO,NOTSE,HOPITAL,HOPITAL DE NOTSE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",90181309,akd_francis@yahoo.fr,6.9511875,1.1731875,Notse Notse,Notse
TOGO,LOME,CENTRE DE DIAGNOSTIC,INSTITUT NATIONAL D'HYGIENE - INH,ANALYSES MEDICALES,22 21 03 66,hjacky78@yahoo.fr;kondidjabi@yahoo.fr,6.1259375,1.2181875,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,KNAL OPTIC,OPTIQUE,22 25 65 66,Pas d'adresse mail,6.1885625,1.2079375,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,KRYSTAL OPTIQUE,OPTIQUE,22 22 96 96 / 90328000,Pas d'adresse mail,6.1360625,1.2194375,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,LEDI VISION,OPTIQUE,22 21 52 53 / 91 55 17 50,contact@ledivision.com,6.1849375,1.2068125,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,NOVA VISION,OPTIQUE, 22 42 20 27/ 90 74 12 62,contact@optique-novavision.com,6.1900625,1.1608125,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,CLAIR OPTIC (OPTICAL DISCOUNT),OPTIQUE, 22 20 90 90 / 90 32 80 00,clairoptic.togo@gmail.com,6.1449375,1.2114375,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,OPTIQUE A DIEU LA GLOIRE,OPTIQUE,22 20 71 83,Pas d'adresse mail,6.1420625,1.2109375,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,OPTIQUE OTTICA,OPTIQUE,22 20 90 53,Pas d'adresse mail,6.1304375,1.2218125,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,OPTIQUE VISION VIE,OPTIQUE,98607935,Pas d'adresse mail,6.1704375,1.1934375,"Lome Adidogomé Avénou, Adjinomoto","Adidogomé Avénou, Adjinomoto"
TOGO,LOME,CENTRE DE DIAGNOSTIC,PERFECT LABO,ANALYSES MEDICALES,22 20 77 88,kueviam@hotmail.com,6.1489375,1.2155625,Lome Lome,Lome
TOGO,LOME,CLINIQUE,POLYCLINELLE WOSSINU & GBOGBO,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, NEUROLOGIE, CARDIOLOGIE, PEDIATRIE, ANALYSES MEDICALES",22 50 39 89,polyclinellewossinu@gmail.com;mquacoe@hotmail.com,6.1760625,1.1823125,Lome Lome,Lome
TOGO,LOME,CLINIQUE,POLYCLINIQUE INTERNATIONALE SAINT JOSEPH,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, NEUROLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, RHUMATOLOGIE, ANALYSES MEDICALES",22 26 72 32,pisjo@hotmail.com,6.1738125,1.2411875,"Lome Hédzranawoé, Bd. du Haho, non loin de CIB-INTA","Hédzranawoé, Bd. du Haho, non loin de CIB-INTA"
TOGO,LOME,CLINIQUE,HOPITAL NADOUVI LAWSON BODY (POLYCLINIQUE LE CŒUR),"CARDIOLOGIE, MEDECINE GENERALE",22 26 84 81;22 26 03 11,cliniquelecoeur@gmail.com,6.1691875,1.2358125,"Lome Tokoin Wuiti, Bd. Jean Paul II, derrière l’ONG Borne Fonden","Tokoin Wuiti, Bd. Jean Paul II, derrière l’ONG Borne Fonden"
TOGO,LOME,CLINIQUE,POLYCLINIQUE MELIA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE (DIGESTIVE, GENERALE, PEDIATRIQUE), ANALYSES MEDICALES, PSYCHOLOGIE, ALLERGOLOGIE, ANATOMIE-PATHOLOGIQUE, ANESTHESIE REANIMATION, CARDIOLOGIE, DERMATOLOGIE, ENDOCRINOLOGIE, HEMATOLOGIE CLINIQUE, HEPATO-GASTRO-ENTEROLOGIE, KINESITHERAPIE, NEPHROLOGIE, MEDECINE INTERNE, NEUROCHIRURGIE, ONCOLOGIE, OPHTALMOLOGIE, OTO-RHINO-LARYNGOLOGIE, IMAGERIE MEDICALE (Radio, Echo), TRAUMATOLOGIE, UROLOGIE, ORTHOPHONIE",70448377 ; 91080385 / 90187242,cabmeli@yahoo.fr;secrtariatpm@yahoo.com,6.1863125,1.1756875,Lome Adidogomé,Adidogomé Franciscains
TOGO,LOME,CLINIQUE,POLYCLINIQUE SAINT ANTOINE DE PADOUE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE (Digestive, Pédiatrique, Générale, Maxillofaciale), PEDIATRIE, CARDIOLOGIE, NEUROLOGIE, HEPATO-GASTRO-ENTEROLOGIE, PNEUMOLOGIE, MEDECINE INTERNE, MEDECINE DU TRAVAIL, PSYCHIATRIE, ANALYSES MEDICALES (Hemato, Immuno, Parasito, Bioch), OTO-RHINO-LARYNGOLOGIE (ORL), IMAGERIE MEDICALE (Radio, Echo), ORTHOPEDIE",22 71 02 85; 99833413; 93 34 15 05 / 90 16 83 93 / 90077015,clipadoue2017@gmail.com;goutadavi@yahoo.fr;reined3@gmail.com,6.1633125,1.2840625,Lome Ahadji kpota,"Ahadji kpota, face Gendarmerie Zorro bar"
TOGO,SOKODE,CLINIQUE,POLYCLINIQUE SOKODE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES", 90 12 45 16/ 25 50 12 57 ,jackak310@yahoo.fr,8.9816875,1.1393125,Sokode Sokode,Sokode
TOGO,LOME,CENTRE DE DIAGNOSTIC,RAPI LABO,ANALYSES MEDICALES,22 22 32 36,Pas d'adresse mail,6.1501875,1.2131875,Lome Lome,Lome
TOGO,KARA,CLINIQUE,SOS HOPITAL MERE ET ENFANT,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",26601159 / 26606043,programme.kara@sos-togo.org,9.5608125,1.2103125,Kara Kara,Kara
TOGO,LOME,CENTRE D'OPTIQUE,TOGOPTIC,OPTIQUE,22 22 01 31 ,Pas d'adresse mail,6.1354375,1.2134375,Lome Hanoukopé,"Hanoukopé, Non loin de la Pharmacie Pour Tous, face à Canada Expert Pro "
TOGO,LOME,CLINIQUE,UNITE MEDICALE SAMB,"MEDECINE GENERALE, CARDIOLOGIE, ANALYSES MEDICALES, MEDECINE DU TRAVAIL",00228 22 51 78 58,cabinetumm@yahoo.fr,6.2256875,1.2109375,"Lome Agoènyivé, à côté de l'église catholique Marie Théotokos","Agoènyivé, à côté de l'église catholique Marie Théotokos"
TOGO,ADANGBE,DISPENSAIRE,USP ADANGBE,MEDECINE GENERALE,91 90 39 42,Pas d'adresse mail,6.5336875,1.2955625,Adangbe Adangbe,Adangbe
TOGO,AOUDA - SOTOUBOUA,DISPENSAIRE,USP AOUDA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",90762687,Pas d'adresse mail,8.9229375,1.1068125,Aouda - Sotouboua Aouda - Sotouboua,Aouda - Sotouboua
TOGO,BAPURE - GUERIN KOUKA,DISPENSAIRE,USP BAPURE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",91949176,Pas d'adresse mail,9.5245625,0.6124375,Bapure - Guerin Kouka Bapure - Guerin Kouka,Bapure - Guerin Kouka
TOGO,KATCHAMBA - GUERIN KOUKA,DISPENSAIRE,USP KATCHAMBA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",90461440,Pas d'adresse mail,9.8843125,0.5185625,Katchamba - Guerin Kouka Katchamba - Guerin Kouka,Katchamba - Guerin Kouka
TOGO,KIDJABOUN - GUERIN KOUKA,DISPENSAIRE,USP KIDJABOUN,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",90343539,Pas d'adresse mail,9.7834375,0.4604375,Kidjaboun - Guerin Kouka Kidjaboun - Guerin Kouka,Kidjaboun - Guerin Kouka
TOGO,KPATCHILE - GUERIN KOUKA,DISPENSAIRE,USP KPATCHILE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",97119538,Pas d'adresse mail,9.5391875,0.5754375,Kpatchile - Guerin Kouka Kpatchile - Guerin Kouka,Kpatchile - Guerin Kouka
TOGO,NANDOUTA - GUERIN KOUKA,DISPENSAIRE,USP NANDOUTA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",92129968 / 92376584,Pas d'adresse mail,9.6044375,0.3958125,Nandouta - Guerin Kouka Nandouta - Guerin Kouka,Nandouta - Guerin Kouka
TOGO,NAWARE - GUERIN KOUKA,DISPENSAIRE,USP NAWARE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",90461440,Pas d'adresse mail,9.6160625,0.6274375,Naware - Guerin Kouka Naware - Guerin Kouka,Naware - Guerin Kouka
TOGO,TCHEBEBE - SOTOUBOUA,DISPENSAIRE,USP TCHEBEBE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE",90084124,Pas d'adresse mail,8.4310625,0.9833125,Tchebebe - Sotouboua Tchebebe - Sotouboua,Tchebebe - Sotouboua
TOGO,TCHEKPO D,DISPENSAIRE,USP TCHEKPOE DEDEKPOE,MEDECINE GENERALE,96 37 30 85,johnokotan@gmail.com,6.5353125,1.3614375,Tchekpo Dedekpoe,Tchekpo Dedekpoe
TOGO,ZAFI,DISPENSAIRE,USP ZAFI,MEDECINE GENERALE,96 37 30 95,felleygilbert@gmail.com,6.6255625,1.3759375,Zafi Zafi,Zafi
TOGO,LOME,CENTRE D'OPTIQUE,VAL OPTIC,OPTIQUE,24 45 27 17,Pas d'adresse mail,6.2029375,1.1458125,Lome Lome,Lome
TOGO,LOME,CENTRE D'OPTIQUE,VISION LE POINT,OPTIQUE,22 26 48 23,Pas d'adresse mail,6.2075625,1.1815625,Lome Lome,Lome
TOGO,LOME,HOPITAL,HOPITAL SAINTE JOSEPHINE BAKHITA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE, CHIRURGIE GENERALE, CARDIOLOGIE, STOMATOLOGIE, TRAUMATOLOGIE, OPHTALMOLOGIE, PSYCHIATRIE, KINESITHERAPIE, ANALYSES MEDICALES (Immuno, Hemato, Bacterio, Bioch), IMAGERIE (Radio, Echo)",70470662 / 90792381 // 91831397,cmsjbagoe2006@yahoo.com;bimizimarcel@gmail.com;ktadougbe@yahoo.com,6.259937,1.163063,Agoe Kove,"Agoe Kove, route de Mission Tove"
TOGO,LOME,CABINET,CLINIQUE MEDICO-CARDIOLOGIQUE CŒUR DE GRACE,"CARDIOLOGIE,ENDOCRINOLOGIE,ANALYSES MEDICALES (hemato, bioch), IMAGERIE (Echo)",22504260; 91736042;92867079,ehlanefa@gmail.com,6.189563,1.184937,Totsi-Gblinkomé,"Totsi-Gblinkomé, Non loin de la salle des Témoins de Jéhovah"
TOGO,LOME,DISPENSAIRE,CENTRE DE SOINS POLYVALENTS ASSOCIATION TOGOLAISE D'ENTRAIDE EN SANTE (ATES),"MEDECINE GENERALE, GYNECOLOGIE-OBSTETRIQUE, KINESITHERAPIE, MALADIES INFECTIEUSES, PEDIATRIE, NEONATOLOGIE, KINESITHERAPIE, ANALYSES MEDICALES (Hemato, Immuno, Bioch), IMAGERIE (Echo)",22261577 / 90043278,centre2soinsates@gmail.com;kudorcas@yahoo.fr,6.1635625,1.2276875,Lome Tokoin Wuiti,Tokoin Wuiti
